,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
1972,DL,108,MCO,ATL,,,93.0,1
1973,OO,6543,SAN,DEN,,678.0,135.0,1
1974,OO,6744,SFO,SNA,,965.0,,1
1975,WN,3241,MCO,BDL,,1150.0,,1
1976,UA,494,DSM,ORD,4.0,,,0
1977,OO,6718,DEN,XNA,,815.0,102.0,1
1978,WN,3415,SAN,SAT,,,,0
1979,US,1157,PHL,RSW,4.0,,,0
1980,WN,1690,HOU,BWI,,,175.0,1
1981,WN,1466,BHM,TPA,2.0,,,0
1982,UA,270,ONT,DEN,2.0,459.0,148.0,0
1983,FL,1118,MCO,LGA,,480.0,,0
1984,YV,7309,CLT,ORD,,687.0,132.0,0
1985,OO,6240,SFO,SAN,,,,1
1986,AS,585,SNA,PDX,,1135.0,,1
1987,CO,1079,IAH,SAT,,,59.0,1
1988,B6,1417,AUS,LGB,3.0,,195.0,1
1989,FL,823,BWI,BOS,2.0,750.0,75.0,0
1990,XE,2775,EWR,AVL,,545.0,,0
1991,UA,96,PDX,SFO,,572.0,118.0,0
1992,MQ,4584,LGA,CLT,7.0,,130.0,0
1993,XE,2492,IAH,RDU,5.0,,,1
1994,OO,6257,DEN,BOI,,906.0,,0
1995,WN,400,MCO,MDW,,1090.0,,0
1996,US,2175,LGA,DCA,,780.0,67.0,0
1997,OO,6373,SBA,LAX,4.0,688.0,,1
1998,9E,4037,BDL,JFK,,,,0
1999,US,1807,PIT,PHL,,,,1
2000,FL,868,MSP,ATL,,404.0,154.0,1
2001,XE,2516,ROC,EWR,,1058.0,93.0,0
2002,WN,692,OAK,SEA,,,,1
2003,CO,1132,EWR,BOS,,925.0,70.0,1
2004,XE,5915,ICT,ORD,4.0,,109.0,1
2005,AS,698,SEA,GEG,4.0,1380.0,,0
2006,MQ,2910,MGM,DFW,,780.0,130.0,1
2007,FL,121,ATL,TPA,5.0,,,0
2008,AS,668,SEA,AUS,1.0,,,0
2009,9E,3730,ATL,LIT,,,106.0,0
2010,CO,582,IAH,BOS,4.0,1125.0,225.0,1
2011,B6,82,SEA,JFK,,1307.0,301.0,1
2012,OO,6750,ORD,ATL,,,,1
2013,UA,109,ORD,MSP,7.0,865.0,,0
2014,WN,348,SDF,STL,,1140.0,70.0,1
2015,UA,14,SFO,JFK,,,,1
2016,UA,130,LAX,PHL,,520.0,,0
2017,YV,7303,PIT,IAD,2.0,,,0
2018,MQ,4315,CLE,ORD,2.0,,95.0,0
2019,XE,2627,ATL,IAH,,910.0,,0
2020,XE,2901,ORF,IAH,,,,1
2021,XE,3094,IAH,GSP,6.0,655.0,121.0,1
2022,WN,1270,SMF,SAN,,365.0,90.0,1
2023,OO,6672,ORD,SPI,3.0,1028.0,,0
2024,WN,3224,MDW,AUS,,,,0
2025,EV,7108,PWM,IAD,,,114.0,0
2026,WN,3771,MDW,PIT,,710.0,,1
2027,US,1226,EWR,CLT,,,125.0,0
2028,DL,1204,MEM,ATL,5.0,,,0
2029,WN,122,BNA,SAT,,,,1
2030,9E,3904,CMH,DTW,,920.0,,1
2031,OO,6428,LAS,LAX,6.0,,70.0,0
2032,OO,7053,LIT,ORD,,,112.0,1
2033,9E,3751,GSO,ATL,6.0,,,1
2034,9E,4120,PHF,ATL,,800.0,,1
2035,9E,4199,DTW,DAY,6.0,,,0
2036,DL,1527,ATL,FLL,1.0,1035.0,,1
2037,OO,4442,SLC,FCA,,1299.0,102.0,1
2038,FL,161,ATL,SJU,,550.0,,0
2039,AA,742,DFW,LGA,1.0,,205.0,1
2040,OO,4877,SLC,BZN,3.0,,73.0,0
2041,FL,892,LAX,MKE,,,,1
2042,UA,128,ORD,PHL,1.0,,131.0,0
2043,WN,1201,CMH,MDW,,,,0
2044,OO,6554,FAR,DEN,1.0,,,0
2045,MQ,4104,ORD,FSD,,,100.0,1
2046,EV,7079,IAD,CAE,,745.0,87.0,0
2047,DL,1262,MCO,BDL,,675.0,,0
2048,WN,605,DEN,SLC,,420.0,95.0,0
2049,DL,2318,MCO,ATL,,,96.0,1
2050,US,128,SJC,PHX,,,107.0,0
2051,XE,3143,CLE,PBI,,,,1
2052,FL,91,ATL,RDU,2.0,,77.0,1
2053,MQ,3618,TLH,MIA,4.0,1100.0,80.0,0
2054,OO,4550,OMA,SLC,5.0,,,0
2055,MQ,4168,RIC,ORD,,,135.0,0
2056,9E,4116,GSP,DTW,,750.0,117.0,0
2057,UA,247,LAS,DEN,5.0,,,1
2058,F9,358,DEN,TPA,5.0,700.0,,1
2059,WN,1451,LAX,PHX,3.0,790.0,75.0,0
2060,MQ,4343,ORD,DTW,6.0,405.0,85.0,1
2061,9E,4373,LSE,DTW,6.0,,102.0,1
2062,MQ,2731,CVG,DFW,4.0,,165.0,1
2063,WN,162,LAS,OAK,,520.0,90.0,1
2064,WN,120,DTW,MDW,,,,1
2065,AA,1955,DFW,PHX,4.0,,,0
2066,AS,658,SJC,AUS,,535.0,199.0,0
2067,XE,2796,IAH,ATL,7.0,,,1
2068,WN,674,HOU,JAN,4.0,530.0,65.0,0
2069,WN,268,LAS,MDW,1.0,920.0,,1
2070,WN,1869,DEN,GEG,,1175.0,155.0,1
2071,WN,3836,TPA,DEN,4.0,,,1
2072,WN,775,BNA,ORF,4.0,,,1
2073,XE,2581,IAH,CRP,5.0,860.0,61.0,1
2074,AA,334,DFW,BNA,,440.0,,0
2075,WN,1660,OAK,LAX,1.0,1015.0,75.0,1
2076,9E,4259,DTW,ATW,1.0,725.0,85.0,0
2077,OO,6317,SFO,SBA,,413.0,82.0,0
2078,OO,6440,PSP,LAX,6.0,753.0,,1
2079,CO,137,IAH,LAX,,,,1
2080,UA,651,EWR,ORD,,1050.0,,0
2081,OO,4517,BIL,SLC,,455.0,84.0,0
2082,9E,3683,ITH,DTW,5.0,,103.0,0
2083,DL,1063,LAX,MCO,,1360.0,,1
2084,YV,7297,ATL,IAD,,,100.0,0
2085,CO,467,IAH,SEA,6.0,,279.0,1
2086,US,1588,MCI,CLT,,,,1
2087,US,644,LAS,PHX,3.0,,,0
2088,US,273,PHX,IAH,2.0,810.0,154.0,0
2089,9E,3704,DAL,MEM,,705.0,92.0,0
2090,UA,27,JFK,LAX,3.0,,,0
2091,OO,4577,LEX,MSP,,,130.0,1
2092,AA,1606,DFW,CMH,3.0,860.0,,1
2093,OO,6393,DEN,FSD,,1233.0,85.0,1
2094,DL,2435,DCA,TPA,2.0,,,1
2095,B6,488,LGB,BOS,4.0,,,1
2096,CO,398,DEN,IAH,,520.0,,0
2097,WN,12,DAL,OKC,,,50.0,1
2098,WN,641,PIT,PHL,3.0,1035.0,,1
2099,UA,663,DCA,DEN,6.0,,,1
2100,OO,4460,SLC,BZN,4.0,585.0,90.0,1
2101,FL,109,ATL,DFW,,,,1
2102,FL,363,LGA,ATL,6.0,425.0,,0
2103,YV,7249,CLT,IAD,4.0,,,1
2104,WN,2265,GEG,BOI,,710.0,60.0,0
2105,MQ,4028,JAX,ORD,5.0,,170.0,0
2106,UA,514,ORD,IAD,7.0,,,1
2107,UA,408,DEN,MSY,5.0,1065.0,158.0,1
2108,AS,20,SEA,ORD,,,,0
2109,AA,1132,DFW,TPA,1.0,,135.0,0
2110,CO,732,IAH,LGA,6.0,,,1
2111,MQ,3990,ORD,DAY,,830.0,,0
2112,WN,1567,LAS,HOU,,1095.0,,1
2113,EV,5563,MOB,ATL,1.0,,,1
2114,US,986,FLL,DCA,,420.0,145.0,0
2115,AS,870,ANC,HNL,,,,0
2116,MQ,4136,JFK,IND,3.0,,145.0,1
2117,9E,3994,MSP,RST,,860.0,50.0,0
2118,EV,5048,CAE,ATL,,435.0,89.0,1
2119,B6,358,BUR,JFK,,,301.0,0
2120,CO,1623,IAH,MSY,1.0,,67.0,0
2121,WN,441,PHX,SAN,,,75.0,0
2122,AS,896,OGG,SJC,2.0,,300.0,0
2123,MQ,3310,DFW,CID,2.0,,120.0,0
2124,9E,3684,JFK,BTV,7.0,540.0,109.0,0
2125,B6,219,JFK,CLT,,490.0,121.0,0
2126,AA,1654,DFW,SNA,5.0,980.0,200.0,1
2127,AA,1399,DEN,ORD,,,155.0,1
2128,OH,6400,CVG,CLE,,945.0,,0
2129,YV,7259,IAD,MCI,,506.0,167.0,0
2130,OH,6625,RDU,IND,,430.0,120.0,0
2131,US,528,PHX,RNO,2.0,1275.0,,1
2132,9E,4043,GRR,MEM,,710.0,113.0,0
2133,OO,6385,LAX,SBP,,,54.0,1
2134,DL,2694,ATL,PHL,1.0,750.0,,0
2135,CO,423,IAH,MSY,,,,1
2136,WN,2887,SNA,DEN,,,,1
2137,MQ,4369,CVG,ORD,6.0,1050.0,,0
2138,OH,6640,DCA,BOS,,,,0
2139,US,1812,PHL,BOS,6.0,,74.0,1
2140,AA,1743,DFW,MCI,1.0,885.0,90.0,1
2141,YV,2719,AUS,PHX,7.0,,,0
2142,UA,867,SFO,LAX,,712.0,95.0,0
2143,OH,6311,ATL,CRW,2.0,,84.0,0
2144,B6,369,LGA,PBI,,980.0,,1
2145,AS,95,SEA,ANC,,,,1
2146,UA,91,EWR,SFO,,360.0,,1
2147,AA,1501,DFW,ABQ,,,110.0,1
2148,WN,648,PHX,SEA,1.0,,,1
2149,AA,1502,ORD,TPA,1.0,,,0
2150,DL,2880,SFO,ATL,,720.0,280.0,0
2151,WN,1973,BWI,PVD,6.0,,,0
2152,XE,3018,DTW,EWR,,,100.0,0
2153,US,2158,DCA,LGA,,,60.0,0
2154,MQ,3451,DFW,XNA,3.0,,,0
2155,WN,2031,SEA,LAS,,,,1
2156,AA,1636,DFW,OMA,,785.0,,0
2157,HA,208,HNL,KOA,,656.0,43.0,0
2158,AS,152,OTZ,ANC,4.0,895.0,,1
2159,XE,5946,SDF,ORD,,802.0,,0
2160,AA,1802,SAT,DFW,4.0,,70.0,1
2161,AA,1147,DFW,PHX,,,155.0,0
2162,MQ,2875,DFW,XNA,6.0,1335.0,,1
2163,MQ,3867,DTW,ORD,5.0,,,0
2164,DL,2596,SFO,CVG,,,262.0,1
2165,CO,429,TUS,IAH,7.0,365.0,139.0,1
2166,XE,2153,EWR,BNA,6.0,612.0,,1
2167,DL,1716,DEN,ATL,2.0,,171.0,1
2168,MQ,3014,FAT,LAX,1.0,350.0,65.0,0
2169,UA,707,ORD,DEN,4.0,,160.0,0
2170,OH,6259,DTW,PIT,,,76.0,0
2171,WN,2421,MDW,OMA,6.0,,90.0,1
2172,DL,1401,BOS,ATL,,,190.0,0
2173,MQ,3265,HOU,DFW,2.0,,70.0,1
2174,AA,268,SEA,JFK,,435.0,,0
2175,AA,1943,SFO,LAX,,1150.0,80.0,1
2176,DL,1929,ATL,SEA,,,340.0,1
2177,WN,1191,DEN,FLL,,975.0,230.0,1
2178,US,493,PHX,DEN,4.0,1190.0,110.0,1
2179,DL,1554,LAX,ATL,,865.0,,1
2180,CO,532,IAH,LGA,,,,1
2181,AA,303,LGA,ORD,2.0,,,0
2182,UA,806,LAX,SFO,,811.0,89.0,1
2183,OO,4658,BTM,SLC,4.0,,,0
2184,CO,1458,ATL,IAH,7.0,1145.0,,1
2185,YV,7248,ORD,CLT,,1268.0,,0
2186,EV,4976,FAY,ATL,,989.0,,0
2187,OO,6961,DEN,LNK,,,,1
2188,FL,1629,PHL,MCO,1.0,773.0,167.0,0
2189,DL,1792,SAN,ATL,3.0,,238.0,1
2190,EV,5124,ATL,PHF,6.0,,,1
2191,DL,2806,SFO,MSP,3.0,,,1
2192,DL,1479,MEM,LAS,6.0,,234.0,0
2193,CO,1552,EWR,CLT,,885.0,,0
2194,F9,846,SEA,DEN,,651.0,150.0,1
2195,WN,2153,SJC,SAN,,,,1
2196,WN,1286,MCI,LAS,,425.0,195.0,0
2197,OO,6975,SGF,ORD,5.0,839.0,,1
2198,US,1884,TPA,PHL,1.0,720.0,149.0,0
2199,MQ,2821,DFW,SPS,3.0,,,0
2200,FL,130,TPA,ATL,5.0,,,1
2201,XE,2279,EWR,TYS,,,139.0,1
2202,US,1069,PHL,RSW,,1085.0,181.0,0
2203,XE,3116,EWR,IND,,,,1
2204,OO,4575,OKC,SLC,,,142.0,0
2205,WN,2147,SNA,LAS,,1020.0,65.0,1
2206,WN,1657,MHT,BWI,5.0,890.0,100.0,1
2207,OO,6464,ELP,DEN,5.0,394.0,,0
2208,DL,2872,TPA,ATL,4.0,,,0
2209,AA,593,STL,ORD,,840.0,75.0,0
2210,OH,6646,RDU,STL,3.0,,140.0,0
2211,UA,218,SNA,DEN,1.0,1049.0,,0
2212,YV,2734,PHX,LGB,,1068.0,80.0,0
2213,YV,2881,SBP,PHX,,,,0
2214,CO,90,LAX,EWR,,,321.0,1
2215,OO,6846,SFO,SBA,4.0,,,0
2216,XE,5957,GRB,ORD,4.0,,,1
2217,AA,625,MCO,MIA,,,65.0,1
2218,B6,1324,BWI,BOS,1.0,730.0,,1
2219,WN,2714,MCO,BHM,,,95.0,0
2220,WN,963,MDW,BHM,7.0,600.0,,1
2221,DL,1922,DTW,BOS,,,112.0,1
2222,CO,461,PHX,IAH,,,155.0,1
2223,DL,2132,ORD,MSP,,550.0,,1
2224,WN,1094,PHX,ELP,5.0,,70.0,0
2225,AA,1657,JFK,MIA,,965.0,,0
2226,WN,3257,OAK,LAS,,1240.0,,1
2227,DL,170,LAS,SLC,,,84.0,1
2228,DL,1024,ATL,RSW,,,113.0,0
2229,OO,6977,CEC,ACV,,,,0
2230,XE,2188,RIC,EWR,,775.0,,0
2231,DL,1289,IAD,ATL,6.0,,,0
2232,UA,625,DCA,ORD,,,,0
2233,CO,87,CLE,EWR,6.0,,78.0,0
2234,CO,175,SNA,HNL,,,345.0,0
2235,B6,41,JFK,MCO,5.0,,181.0,0
2236,US,221,PHX,BOS,3.0,,,0
2237,XE,2088,MAF,IAH,,,84.0,0
2238,US,1019,PVD,CLT,5.0,385.0,143.0,1
2239,UA,730,SNA,ORD,,679.0,237.0,1
2240,EV,7314,ATL,TRI,4.0,,,0
2241,WN,437,MDW,RNO,,,,0
2242,FL,176,RSW,ATL,2.0,,,0
2243,WN,3386,LAS,BUR,,835.0,65.0,0
2244,CO,530,EWR,JAX,,,,0
2245,US,183,PHX,FLL,,590.0,,1
2246,MQ,3672,SDF,MIA,3.0,435.0,,0
2247,B6,463,BOS,RSW,4.0,990.0,216.0,1
2248,WN,386,AUS,LBB,,,70.0,1
2249,MQ,3020,FAT,LAX,,,,0
2250,MQ,3079,LAX,SAN,,1185.0,45.0,0
2251,FL,929,MCI,ATL,5.0,1033.0,117.0,0
2252,US,758,ORD,PHL,5.0,710.0,115.0,0
2253,HA,258,HNL,KOA,,737.0,,0
2254,WN,1768,MDW,MCI,3.0,1020.0,,1
2255,US,301,CLT,PHX,7.0,985.0,278.0,1
2256,EV,7120,IAD,LGA,1.0,882.0,,1
2257,OO,6705,TVC,ORD,4.0,,79.0,0
2258,DL,2169,RDU,ATL,,,,1
2259,US,148,PHX,LAS,,,70.0,0
2260,WN,1122,OAK,LAS,5.0,665.0,,1
2261,9E,4069,GRB,MSP,1.0,1024.0,,0
2262,UA,847,SFO,IAD,6.0,,,0
2263,UA,245,DEN,SJC,5.0,728.0,166.0,1
2264,9E,3810,DSM,DTW,7.0,,114.0,0
2265,AA,1839,OKC,DFW,5.0,,60.0,0
2266,CO,767,IAH,SEA,,,281.0,1
2267,UA,447,PHL,SFO,,1070.0,387.0,0
2268,WN,1848,MCI,BNA,4.0,1030.0,,1
2269,WN,1757,DEN,SMF,,705.0,160.0,1
2270,DL,2471,ATL,BZN,,670.0,258.0,1
2271,US,1033,BDL,CLT,,1025.0,132.0,1
2272,EV,5403,MEM,MFE,,,139.0,1
2273,9E,3832,MSN,MSP,2.0,,,1
2274,DL,2586,ATL,LGA,4.0,,,1
2275,WN,487,TUS,LAS,4.0,1080.0,,1
2276,WN,1405,MDW,OAK,6.0,,,0
2277,B6,470,RSW,BOS,,1170.0,171.0,1
2278,WN,3844,MDW,IAD,,,105.0,0
2279,WN,1682,RDU,PHL,6.0,,,1
2280,AS,51,ANC,FAI,,,,0
2281,UA,463,ORD,MSP,,1315.0,93.0,0
2282,CO,1687,MCO,IAH,7.0,1075.0,152.0,1
2283,YV,1025,KOA,HNL,,,,0
2284,DL,1127,ATL,PBI,5.0,,111.0,1
2285,OH,6301,CVG,DFW,,855.0,,1
2286,WN,2297,TPA,BNA,1.0,,,0
2287,DL,1243,DTW,STL,,1195.0,111.0,0
2288,WN,2097,SAN,DEN,,,,1
2289,WN,265,SAN,SFO,,,90.0,1
2290,WN,563,HOU,CRP,,1050.0,,0
2291,EV,5218,MDT,ATL,1.0,360.0,136.0,1
2292,OO,6240,PSC,SFO,,1045.0,125.0,1
2293,AA,1924,SJC,DFW,4.0,,205.0,0
2294,EV,7111,IAD,JFK,,495.0,,1
2295,FL,1624,MCO,PHL,,,,0
2296,OH,6286,LGA,CVG,,629.0,148.0,1
2297,WN,1213,OKC,LAS,,,170.0,0
2298,DL,2529,MSP,TPA,7.0,545.0,,0
2299,DL,1430,MKE,DTW,6.0,,,0
2300,US,942,SFO,CLT,1.0,1340.0,,1
2301,9E,4156,MEM,MKE,,870.0,108.0,0
2302,AA,1887,DFW,LAS,4.0,395.0,,0
2303,9E,4012,MEM,TYS,6.0,,82.0,0
2304,UA,556,LAX,SFO,1.0,718.0,,0
2305,DL,2178,DTW,CLT,4.0,420.0,,0
2306,WN,151,PHX,SLC,1.0,1085.0,95.0,1
2307,WN,701,OAK,PHX,,,110.0,1
2308,UA,37,SFO,OGG,6.0,831.0,343.0,0
2309,WN,674,JAN,MCO,,,,1
2310,DL,559,ATL,SJU,,,225.0,1
2311,DL,2318,ATL,MSP,6.0,960.0,,1
2312,OO,6817,SFO,CIC,,1290.0,52.0,1
2313,AA,524,SAT,DFW,,,,0
2314,OH,6744,CMH,DCA,5.0,660.0,,0
2315,MQ,3384,CHS,DFW,7.0,,,0
2316,9E,4230,FWA,DTW,,480.0,,0
2317,DL,1068,MSP,CLT,6.0,1150.0,142.0,1
2318,EV,5294,BNA,ATL,6.0,,,0
2319,CO,57,EWR,MCO,5.0,,175.0,0
2320,OO,6944,CLD,LAX,1.0,,40.0,1
2321,AA,1646,DFW,MIA,3.0,,155.0,0
2322,US,1746,MCO,PHL,3.0,,142.0,0
2323,EV,5173,ATL,BHM,4.0,570.0,59.0,0
2324,MQ,3980,ORD,ICT,,875.0,,0
2325,CO,498,DEN,IAH,,,138.0,1
2326,XE,2378,IAH,GSO,,,,0
2327,DL,2543,ATL,SRQ,,1015.0,94.0,0
2328,OH,6320,ATL,GSO,,,88.0,1
2329,UA,623,ORD,MSP,,,,1
2330,MQ,3259,DFW,FAY,,705.0,150.0,0
2331,WN,1217,HOU,TPA,,,,1
2332,MQ,2835,DFW,JAN,7.0,995.0,,1
2333,US,587,PHX,GEG,,1260.0,,0
2334,WN,1228,LAX,SAT,,,165.0,1
2335,OO,4801,IAH,SLC,2.0,850.0,195.0,0
2336,WN,378,BWI,TPA,7.0,,150.0,1
2337,UA,84,LAX,JFK,7.0,,325.0,0
2338,OO,6547,EGE,DEN,,620.0,,0
2339,OO,7792,SLC,SUN,6.0,,71.0,0
2340,DL,123,JFK,ATL,3.0,,,1
2341,WN,1523,MDW,STL,4.0,,,1
2342,CO,689,DTW,IAH,,360.0,195.0,0
2343,OH,6548,JFK,PIT,,885.0,,0
2344,OO,4812,SLC,HLN,,670.0,85.0,1
2345,DL,1909,ATL,DAB,,580.0,,1
2346,OH,6307,MSP,OKC,1.0,860.0,125.0,1
2347,MQ,3048,LAX,SAN,1.0,1240.0,45.0,0
2348,CO,1494,LAX,IAH,,,181.0,1
2349,9E,3746,BHM,DTW,5.0,,130.0,0
2350,UA,57,LAX,KOA,3.0,552.0,,0
2351,EV,5447,SDF,ATL,,680.0,,0
2352,WN,1097,MCO,ABQ,,,255.0,1
2353,AA,341,LGA,ORD,,,180.0,0
2354,DL,320,SMF,ATL,1.0,702.0,265.0,1
2355,9E,4295,JFK,LWB,,750.0,,1
2356,MQ,3693,RIC,MIA,,,160.0,1
2357,UA,177,BOS,SFO,,,,0
2358,YV,1048,LIH,HNL,5.0,,29.0,0
2359,WN,2453,PHX,OMA,4.0,,155.0,1
2360,YV,2906,GJT,PHX,4.0,,128.0,1
2361,YV,2689,ILM,CLT,2.0,,68.0,0
2362,US,183,PHX,FLL,2.0,590.0,258.0,0
2363,EV,5228,AVL,ATL,5.0,415.0,,0
2364,CO,1489,DTW,IAH,6.0,513.0,185.0,0
2365,MQ,4420,BOS,LGA,4.0,360.0,,1
2366,YV,2924,AUS,PHX,7.0,375.0,,0
2367,UA,356,DEN,SAT,,1173.0,,0
2368,AA,1145,DFW,BUR,3.0,785.0,,1
2369,WN,560,DEN,ONT,,1230.0,,1
2370,XE,2238,GSP,EWR,1.0,,,0
2371,WN,2297,TPA,BNA,5.0,420.0,115.0,0
2372,WN,282,SFO,LAX,,890.0,75.0,1
2373,CO,363,PHX,CLE,1.0,485.0,,0
2374,UA,90,LAX,SFO,7.0,360.0,,1
2375,WN,1236,TPA,BDL,5.0,765.0,,1
2376,FL,1042,FLL,CMH,1.0,916.0,,0
2377,US,9,SEA,PHX,2.0,875.0,,1
2378,EV,5357,ATL,MOB,,,79.0,1
2379,US,1690,RSW,CLT,5.0,1035.0,114.0,0
2380,WN,2108,TPA,HOU,2.0,,,0
2381,EV,5398,AVL,ATL,,,,1
2382,UA,998,MCO,ORD,,,173.0,0
2383,OO,6837,LAX,ELP,6.0,,111.0,0
2384,UA,45,LAX,OGG,4.0,,347.0,0
2385,UA,251,IAD,PDX,,,353.0,1
2386,WN,2567,MDW,ABQ,,1040.0,195.0,1
2387,MQ,2707,DFW,LRD,,,85.0,1
2388,AA,642,DFW,CMH,4.0,1190.0,135.0,0
2389,UA,582,ORD,TPA,,1173.0,,0
2390,WN,992,FLL,BUF,,,185.0,1
2391,US,1876,PHL,BOS,,,76.0,0
2392,MQ,3978,CID,ORD,,675.0,70.0,0
2393,US,625,ABQ,PHX,1.0,,77.0,0
2394,EV,5550,ATL,AGS,,815.0,,0
2395,AS,60,KTN,SEA,,555.0,116.0,0
2396,WN,1718,LAS,AUS,,1125.0,155.0,1
2397,OO,4441,FCA,SLC,2.0,735.0,,0
2398,DL,2459,ATL,STL,,,,0
2399,FL,1202,RSW,MDW,,882.0,180.0,0
2400,US,280,PHX,SJC,2.0,650.0,,1
2401,FL,968,ATL,ACY,5.0,1260.0,,0
2402,9E,4261,MSP,GFK,,,81.0,1
2403,DL,1549,ATL,SFO,4.0,668.0,,1
2404,US,1505,CLT,PHX,1.0,451.0,,1
2405,WN,1057,DEN,HOU,3.0,,,1
2406,WN,1077,BNA,JAX,,,85.0,1
2407,US,1790,LAS,CLT,2.0,,,1
2408,MQ,3001,LAX,DEN,,570.0,140.0,0
2409,AA,1541,RDU,MIA,,,,1
2410,AS,7,EWR,SEA,,1110.0,,1
2411,MQ,3893,ORD,PHL,,,,1
2412,FL,500,LGA,MKE,3.0,719.0,,1
2413,B6,744,SJU,MCO,1.0,,,1
2414,AS,45,ANC,BET,,,77.0,0
2415,WN,55,DAL,HOU,4.0,1200.0,,1
2416,CO,522,MSY,IAH,,,70.0,0
2417,AA,231,MIA,LAX,4.0,1080.0,,1
2418,DL,1250,ATL,RSW,,,,0
2419,AA,1715,ORD,LAS,,,250.0,1
2420,XE,2404,PWM,CLE,,,,0
2421,MQ,3618,TLH,MIA,,,,0
2422,DL,2020,MEM,LGA,5.0,1135.0,,1
2423,CO,1581,EWR,SEA,,,,1
2424,WN,1037,HOU,SAN,,1160.0,210.0,1
2425,OO,6466,LAX,SLC,,,,1
2426,CO,1831,PBI,IAH,,,167.0,1
2427,WN,960,BWI,PVD,2.0,,,1
2428,AA,1789,ICT,DFW,,400.0,85.0,0
2429,F9,790,PDX,DEN,5.0,,144.0,0
2430,WN,733,LAS,MCO,,,265.0,1
2431,F9,496,CAK,DEN,,,,1
2432,WN,912,MCO,PVD,,1185.0,155.0,1
2433,WN,2926,AUS,DAL,,,55.0,1
2434,AA,1861,DCA,DFW,7.0,,,1
2435,DL,221,DCA,ATL,,1080.0,115.0,0
2436,WN,1511,DEN,PHX,,,,1
2437,9E,3864,MEM,SGF,,880.0,,0
2438,AS,41,ANC,BET,,420.0,,0
2439,AA,1141,JFK,MIA,,,,1
2440,9E,4154,DTW,BGR,,1295.0,,0
2441,B6,332,MCO,BDL,,765.0,,1
2442,FL,1219,SRQ,MDW,,740.0,,1
2443,WN,1681,PHX,CMH,3.0,,,1
2444,OO,6746,DEN,RAP,5.0,,,0
2445,WN,467,TPA,ISP,7.0,975.0,155.0,0
2446,CO,727,BWI,IAH,,,215.0,1
2447,AA,2466,SFO,DFW,4.0,,195.0,1
2448,DL,79,JFK,MCO,4.0,985.0,,0
2449,UA,187,IAD,SFO,,,368.0,0
2450,UA,310,DEN,LGA,7.0,662.0,223.0,0
2451,CO,649,SFO,EWR,3.0,915.0,,1
2452,CO,793,MCO,EWR,5.0,,154.0,0
2453,OO,4540,MSO,SLC,2.0,708.0,,1
2454,WN,2030,RDU,TPA,,485.0,115.0,0
2455,OO,6286,PSP,LAS,,,60.0,1
2456,AA,1372,MIA,RDU,,1015.0,125.0,0
2457,US,1988,RSW,CLT,5.0,,112.0,0
2458,B6,1007,BOS,JFK,,,70.0,1
2459,AA,456,DFW,TPA,,,,1
2460,US,740,SJU,PHL,,820.0,244.0,1
2461,DL,2020,LAX,MEM,,,,1
2462,YV,7247,IAD,ATL,,,,0
2463,WN,515,BWI,STL,4.0,580.0,145.0,1
2464,UA,653,PHX,ORD,,773.0,,1
2465,AS,44,BET,ANC,,,,0
2466,AS,66,JNU,SEA,2.0,1200.0,138.0,0
2467,CO,1601,EWR,FLL,,,179.0,1
2468,AA,1017,STL,DFW,3.0,1130.0,115.0,1
2469,OO,6719,DEN,MSO,2.0,,,0
2470,DL,671,DTW,RSW,4.0,,173.0,1
2471,OO,6452,ORD,LEX,,,,1
2472,WN,2720,LAS,AUS,7.0,1020.0,155.0,1
2473,XE,2399,IAH,BTR,,780.0,,0
2474,EV,4957,ATL,MOB,3.0,1366.0,74.0,0
2475,OH,6362,HTS,CVG,,887.0,53.0,0
2476,EV,5482,CRW,ATL,,955.0,,0
2477,WN,1437,LAS,BWI,,750.0,,1
2478,UA,217,IAD,SFO,,540.0,,0
2479,UA,6,SFO,JFK,6.0,,,0
2480,OO,4563,SLC,PDX,5.0,520.0,,1
2481,DL,2479,ATL,DAB,5.0,,,0
2482,MQ,3750,MSP,ORD,1.0,,,0
2483,MQ,4010,CLT,ORD,4.0,890.0,135.0,0
2484,CO,449,SFO,EWR,,,,0
2485,WN,1051,ALB,BWI,,1035.0,,1
2486,WN,632,BOS,MDW,7.0,1145.0,175.0,0
2487,UA,438,LAX,ORD,4.0,,,1
2488,WN,2020,PDX,SMF,,1125.0,85.0,1
2489,YV,7295,IAD,ORF,6.0,,56.0,1
2490,CO,252,IAH,SLC,,,,0
2491,MQ,2742,XNA,DFW,2.0,,75.0,0
2492,EV,5117,FAY,ATL,,,,1
2493,OO,6341,LAX,SAN,,1104.0,46.0,1
2494,DL,1274,MSP,EWR,1.0,915.0,,0
2495,FL,923,MCI,ATL,2.0,,120.0,0
2496,AA,1605,ORD,SAN,,1000.0,,1
2497,US,551,PHX,DFW,,,,1
2498,CO,1646,IAH,ORD,,,149.0,1
2499,HA,347,KOA,HNL,,,,0
2500,MQ,3313,MSN,DFW,,,155.0,0
2501,MQ,4437,LGA,CMH,,,120.0,1
2502,US,991,IAD,CLT,6.0,,,1
2503,AA,1354,LAS,MIA,6.0,370.0,,0
2504,F9,671,MCO,DEN,5.0,,239.0,0
